Abseamed 1000 I.E./0,5 ml Injektionsloesung in einer Fertigspritze;Arzneispezialitaet;Abseamed 1000 I.E./0,5 ml Injektionsloesung in einer Fertigspritze;EU/1/07/412/001-002;Medice Arzneimittel Puetter GmbH & Co KG, Kuhloweg 37, 58638 Iserlohn, Deutschland;39322;Epoetin Alfa;B03XA01;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Biologika;Human;;;;;;;;;;;1
Abseamed 2000 I.E./1,0 ml Injektionsloesung in einer Fertigspritze;Arzneispezialitaet;Abseamed 2000 I.E./1,0 ml Injektionsloesung in einer Fertigspritze;EU/1/07/412/003-004;Medice Arzneimittel Puetter GmbH & Co KG, Kuhloweg 37, 58638 Iserlohn, Deutschland;39322;Epoetin Alfa;B03XA01;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Biologika;Human;;;;;;;;;;;0
Abseamed 4000 I.E./0,4 ml Injektionsloesung in einer Fertigspritze;Arzneispezialitaet;Abseamed 4000 I.E./0,4 ml Injektionsloesung in einer Fertigspritze;EU/1/07/412/007-008;Medice Arzneimittel Puetter GmbH & Co KG, Kuhloweg 37, 58638 Iserlohn, Deutschland;39322;Epoetin Alfa;B03XA01;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Biologika;Human;;;;;;;;;;;1
Abseamed 6000 I.E./0,6 ml Injektionsloesung in einer Fertigspritze;Arzneispezialitaet;Abseamed 6000 I.E./0,6 ml Injektionsloesung in einer Fertigspritze;EU/1/07/412/011-012;Medice Arzneimittel Puetter GmbH & Co KG, Kuhloweg 37, 58638 Iserlohn, Deutschland;39322;Epoetin Alfa;B03XA01;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Biologika;Human;;;;;;;;;;;0
Abseamed 8000 I.E./0,8 ml Injektionsloesung in einer Fertigspritze;Arzneispezialitaet;Abseamed 8000 I.E./0,8 ml Injektionsloesung in einer Fertigspritze;EU/1/07/412/013-014;Medice Arzneimittel Puetter GmbH & Co KG, Kuhloweg 37, 58638 Iserlohn, Deutschland;39322;Epoetin Alfa;B03XA01;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Biologika;Human;;;;;;;;;;;1
Absinthium Dos. - Globuli;Arzneispezialitaet;Absinthium Dos. - Globuli;HOM-0519;Mag. Martin Doskar, pharm. Produkte e.U., Schottenring 14, 1010 Wien, Oesterreich;35254;;;;;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Homoeopathika;Human;;;;;;;;;;;0
ABTEI Baldrian Perlen - Filmtabletten;Arzneispezialitaet;ABTEI Baldrian Perlen - Filmtabletten;HERB-00051;Richard Bittner AG, Reisnerstrasse 55-57, 1030 Wien, Oesterreich;40590;Valerianae Radix (Auszug);N05CM09;0;0;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;traditionelle pflanzliche Registrierungen;Human;;;;;;;;;;;1
ABTEI Eukalyptus compositum - Hustentropfen;Arzneispezialitaet;ABTEI Eukalyptus compositum - Hustentropfen;HERB-00041;Richard Bittner AG, Reisnerstrasse 55-57, 1030 Wien, Oesterreich;40501;Salviae Officinalis Folium (Auszug), Mischextrakt, Anisi Fructus (Auszug), Eucalypti Folium (Auszug), Foeniculi Fructus (Auszug), Menthae Piperitae Folium (Auszug);R05CA;0;0;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;traditionelle pflanzliche Registrierungen;Human;;;;;;;;;;;0
Acalypha indica Dos. - Dilution;Arzneispezialitaet;Acalypha indica Dos. - Dilution;HOM-0875;Mag. Martin Doskar, pharm. Produkte e.U., Schottenring 14, 1010 Wien, Oesterreich;35310;;;;;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Homoeopathika;Human;;;;;;;;;;;1
ACARIZAX 12 SQ-HDM Lyophilisat zum Einnehmen;Arzneispezialitaet;ACARIZAX 12 SQ-HDM Lyophilisat zum Einnehmen;236641;ALK-Abello A/S, Boge Alle 6-8, 2970 Horsholm, Daenemark;42334;Dermatophagoides Farinae (Allerg.), Dermatophagoides Pteronyssinus (Allerg.);V01AA03;0;0;;;0;Arzneimittel zur wiederholten Abgabe gegen aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Biologika;Human;;;;;;;;;;;0
Acarovac;Arzneispezialitaet;Acarovac;ALL-0078;Bencard Allergie GmbH, Leopoldstrasse 175, 80804 Muenchen, Deutschland;42622;Dermatophagoides Farinae (Allerg.), Dermatophagoides Pteronyssinus (Allerg.);V01AA03;0;0;;;;Arzneimittel zur Abgabe gegen aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Allergenherstellverfahren;Human;;;;;;;;;;;1
Accofil 48 Mio.E./0,5 ml Injektions- oder Infusionsloesung in einer Fertigspritze;Arzneispezialitaet;Accofil 48 Mio.E./0,5 ml Injektions- oder Infusionsloesung in einer Fertigspritze;EU/1/14/946/003-004,011-016,018;Accord Healthcare Limited, Sage House, 319 Pinner Road, North Harrow -, HA1 4HF Middlesex, Vereinigtes Koenigreich;41900;Filgrastim;L03AA02;0;0;0;;;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Biologika;Human;;;;;;;;;;;0
Accupaque 350 mg J/ml - parenterale Roentgenkontrastmittelloesung;Arzneispezialitaet;Accupaque 350 mg J/ml - parenterale Roentgenkontrastmittelloesung;1-23029;GE Healthcare Handels GmbH, Technologiestrasse 10, 1120 Wien, Oesterreich;36306;Iohexol;V08AB02;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
Accupro 20 mg  Filmtabletten;Arzneispezialitaet;Accupro 20 mg  Filmtabletten;1-19363;Pfizer Corporation Austria GmbH, Floridsdorfer Hauptstrasse 1, 1210 Wien, Oesterreich;33385;Quinapril Hydrochlorid;C09AA06;0;0;0;;0;Arzneimittel zur wiederholten Abgabe gegen aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;0
Accusol 35 Haemodialyse-, Haemodiafiltrations- und Haemofiltrationsloesung;Arzneispezialitaet;Accusol 35 Haemodialyse-, Haemodiafiltrations- und Haemofiltrationsloesung;1-26482;Nikkiso Belgium bvba, Industriepark 6, 3300 Tienen, Belgien;38876;Magnesiumchlorid, Calciumchlorid, Natriumchlorid, Natriumhydrogencarbonat;B05ZB;0;0;0;;0;Arzneimittel zur wiederholten Abgabe gegen aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
Accusol 35 Kalium 4 mmol/l Haemodialyse-, Haemodiafiltrations- und Haemofiltrationsloesung;Arzneispezialitaet;Accusol 35 Kalium 4 mmol/l Haemodialyse-, Haemodiafiltrations- und Haemofiltrationsloesung;1-26481;Nikkiso Belgium bvba, Industriepark 6, 3300 Tienen, Belgien;38876;Glucose, Magnesiumchlorid, Natriumchlorid, Natriumhydrogencarbonat, Calciumchlorid, Kaliumchlorid;B05ZB;0;0;0;;0;Arzneimittel zur wiederholten Abgabe gegen aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;0
Accuzide forte Filmtabletten;Arzneispezialitaet;Accuzide forte Filmtabletten;1-20208;Pfizer Corporation Austria GmbH, Floridsdorfer Hauptstrasse 1, 1210 Wien, Oesterreich;34255;Quinapril Hydrochlorid, Hydrochlorothiazid;C09BA06;0;0;0;;0;Arzneimittel zur wiederholten Abgabe gegen aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
Acecomb mite - Tabletten;Arzneispezialitaet;Acecomb mite - Tabletten;1-19511;AstraZeneca Oesterreich GmbH, Landstrasser Hauptstrasse 1A, 1030 Wien, Oesterreich;33557;Hydrochlorothiazid, Lisinopril;C09BA03;0;0;0;;0;Arzneimittel zur wiederholten Abgabe gegen aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;0
Acegon 50 Mikrogramm/ml Injektionsloesung fuer Rinder;Arzneispezialitaet;Acegon 50 Mikrogramm/ml Injektionsloesung fuer Rinder;835285;Laboratorios Syva S.A.U., Avda. Párroco Pablo Diez 49-57, 24010 León, Spanien;41610;Gonadorelin Acetat;QH01CA01;0;0;;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Veterinaer;;;;;;;;;;;1
Acelisino comp. forte - Tabletten;Arzneispezialitaet;Acelisino comp. forte - Tabletten;1-25260;G.L. Pharma GmbH, Schlossplatz 1, 8502 Lannach, Oesterreich;38036;Lisinopril, Hydrochlorothiazid;C09BA03;0;0;0;;0;Arzneimittel zur wiederholten Abgabe gegen aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;0
Acelisino comp. semi - Tabletten;Arzneispezialitaet;Acelisino comp. semi - Tabletten;1-25258;G.L. Pharma GmbH, Schlossplatz 1, 8502 Lannach, Oesterreich;38036;Hydrochlorothiazid, Lisinopril;C09BA03;0;0;0;;0;Arzneimittel zur wiederholten Abgabe gegen aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
Acemin 20 mg - Tabletten;Arzneispezialitaet;Acemin 20 mg - Tabletten;1-19015;AstraZeneca Oesterreich GmbH (PO2603875606), Landstrasser Hauptstrasse 1A, 1030 Wien, Oesterreich;33053;Lisinopril;C09AA03;0;0;0;;0;Arzneimittel zur wiederholten Abgabe gegen aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;0
Acemin 30 mg - Tabletten;Arzneispezialitaet;Acemin 30 mg - Tabletten;1-23335;AstraZeneca Oesterreich GmbH (PO2603875606), Landstrasser Hauptstrasse 1A, 1030 Wien, Oesterreich;36481;Lisinopril;C09AA03;0;0;0;;0;Arzneimittel zur wiederholten Abgabe gegen aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
Acerbine - Loesung;Arzneispezialitaet;Acerbine - Loesung;15124;Pharmazeutische Fabrik Montavit GmbH, Salzbergstrasse 96, 6067 Absam, Oesterreich;26539;Aepfelsaeure, Benzoesaeure, Salicylsaeure;D03AX;0;0;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;0
Acetan 10 mg - Tabletten;Arzneispezialitaet;Acetan 10 mg - Tabletten;1-19012;Kwizda Pharma GmbH, Effingergasse 21, 1160 Wien, Oesterreich;33053;Lisinopril-Dihydrat;C09AA;0;0;0;;0;Arzneimittel zur wiederholten Abgabe gegen aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
Acetan 5 mg - Tabletten;Arzneispezialitaet;Acetan 5 mg - Tabletten;1-19011;Kwizda Pharma GmbH, Effingergasse 21, 1160 Wien, Oesterreich;33053;Lisinopril-Dihydrat;C09AA03;0;0;0;;0;Arzneimittel zur wiederholten Abgabe gegen aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;0
Acetolyt - Granulat;Arzneispezialitaet;Acetolyt - Granulat;15133;Medicopharm GmbH, Elisabethstrasse 13/1/10, 1010 Wien, Oesterreich;26557;Citronensaeure, Calciumcitrat, Natriumcitrat;A02AC10;0;0;0;;0;Arzneimittel zur wiederholten Abgabe gegen aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
Acetylcystein Hexal 100 mg - loesbare Tabletten;Arzneispezialitaet;Acetylcystein Hexal 100 mg - loesbare Tabletten;1-20639;Hexal Pharma GmbH, Stella-Klein-Loew-Weg 17, 1020 Wien, Oesterreich;34621;Acetylcystein;R05CB01;0;0;0;;0;Arzneimittel zur wiederholten Abgabe gegen aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;0
Acetylcystein Hexal 200 mg - loesbare Tabletten;Arzneispezialitaet;Acetylcystein Hexal 200 mg - loesbare Tabletten;1-20640;Hexal Pharma GmbH, Stella-Klein-Loew-Weg 17, 1020 Wien, Oesterreich;34621;Acetylcystein;R05CB01;0;0;0;;0;Arzneimittel zur wiederholten Abgabe gegen aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
Achillea millefolium - DHU - Globuli;Arzneispezialitaet;Achillea millefolium - DHU - Globuli;HOM-3550;Deutsche Homoeopathie-Union, DHU-Arzneimittel GmbH & Co KG, Otto-Strasse 24, 76227 Karlsruhe, Deutschland;37973;;;;;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Homoeopathika;Human;;;;;;;;;;;0
Achillea millefolium Remedia Globuli;Arzneispezialitaet;Achillea millefolium Remedia Globuli;HOM-4669;Remedia Homoeopathie Mag. pharm. Robert Muentz GmbH, Hauptstrasse 4, 7000 Eisenstadt, Oesterreich;38252;;;;;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Homoeopathika;Human;;;;;;;;;;;1
Achillea millefolium-DHU Dilution;Arzneispezialitaet;Achillea millefolium-DHU Dilution;HOM-4088;Deutsche Homoeopathie-Union, DHU-Arzneimittel GmbH & Co KG, Otto-Strasse 24, 76227 Karlsruhe, Deutschland;38014;;;;;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Homoeopathika;Human;;;;;;;;;;;0
Aciclobene  250 mg - Pulver zur Herstellung einer Infusionsloesung;Arzneispezialitaet;Aciclobene  250 mg - Pulver zur Herstellung einer Infusionsloesung;1-22867;Teva B.V., Swensweg 5, 2031 GA Haarlem, Niederlande;36180;Aciclovir;J05AB01;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
Aciclobene ratiopharm - Fieberblasencreme;Arzneispezialitaet;Aciclobene ratiopharm - Fieberblasencreme;1-24029;Teva B.V., Swensweg 5, 2031 GA Haarlem, Niederlande;36970;Aciclovir;D06BB03;0;0;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;0
Aciclobene 800 mg - Tabletten;Arzneispezialitaet;Aciclobene 800 mg - Tabletten;1-22291;Teva B.V., Swensweg 5, 2031 GA Haarlem, Niederlande;35773;Aciclovir;J05AB01;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
Aciclostad 200 mg Tabletten;Arzneispezialitaet;Aciclostad 200 mg Tabletten;1-23041;STADA Arzneimittel GmbH, Muthgasse 36/2, 1190 Wien, Oesterreich;36313;Aciclovir;J05AB01;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;0
Aciclostad 800 mg Tabletten;Arzneispezialitaet;Aciclostad 800 mg Tabletten;1-23051;STADA Arzneimittel GmbH, Muthgasse 36/2, 1190 Wien, Oesterreich;36318;Aciclovir;J05AB01;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
Aciclovir Genericon 400 mg Tabletten;Arzneispezialitaet;Aciclovir Genericon 400 mg Tabletten;1-22477;Genericon Pharma GmbH, Hafnerstrasse 211, 8054 Graz, Oesterreich;35886;Aciclovir;J05AB01;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;0
Aciclovir 1A Pharma - Creme;Arzneispezialitaet;Aciclovir 1A Pharma - Creme;1-22499;1A Pharma GmbH, Stella-Klein-Loew-Weg 17, 1020 Wien, Oesterreich;35902;Aciclovir;D06BB03;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
Aciclovir 1A Pharma 400 mg - Tabletten;Arzneispezialitaet;Aciclovir 1A Pharma 400 mg - Tabletten;1-24811;1A Pharma GmbH, Stella-Klein-Loew-Weg 17, 1020 Wien, Oesterreich;37635;Aciclovir;J05AB01;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;0
Acidum aceticum - DHU - Dilution;Arzneispezialitaet;Acidum aceticum - DHU - Dilution;HOM-4635;Deutsche Homoeopathie-Union, DHU-Arzneimittel GmbH & Co KG, Otto-Strasse 24, 76227 Karlsruhe, Deutschland;38057;;;;;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Homoeopathika;Human;;;;;;;;;;;1
Acidum aceticum Dos. - Dilution;Arzneispezialitaet;Acidum aceticum Dos. - Dilution;HOM-1096;Mag. Martin Doskar, pharm. Produkte e.U., Schottenring 14, 1010 Wien, Oesterreich;35331;;;;;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Homoeopathika;Human;;;;;;;;;;;0
Acidum arsenicosum - DHU - Dilution;Arzneispezialitaet;Acidum arsenicosum - DHU - Dilution;HOM-3632;Deutsche Homoeopathie-Union, DHU-Arzneimittel GmbH & Co KG, Otto-Strasse 24, 76227 Karlsruhe, Deutschland;37977;;;;;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Homoeopathika;Human;;;;;;;;;;;1
Acidum arsenicosum - DHU - Tabletten;Arzneispezialitaet;Acidum arsenicosum - DHU - Tabletten;HOM-3410;Deutsche Homoeopathie-Union, DHU-Arzneimittel GmbH & Co KG, Otto-Strasse 24, 76227 Karlsruhe, Deutschland;37959;;;;;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Homoeopathika;Human;;;;;;;;;;;0
Acidum arsenicosum Spagyra Globuli;Arzneispezialitaet;Acidum arsenicosum Spagyra Globuli;HOM-6366;Spagyra GmbH & Co KG, Marktplatz 5A, 5082 Groedig, Oesterreich;39785;;;;;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Homoeopathika;Human;;;;;;;;;;;1
Acidum benzoicum Dos. - Globuli;Arzneispezialitaet;Acidum benzoicum Dos. - Globuli;HOM-0714;Mag. Martin Doskar, pharm. Produkte e.U., Schottenring 14, 1010 Wien, Oesterreich;35289;;;;;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Homoeopathika;Human;;;;;;;;;;;0
